Date,Open,High,Low,Close,Volume,Openint
2020-08-31,2.913,6.809,2.82,6.28000
2020-09-30,6.28,6.849,3.596,4.322
2020-10-31,4.322,4.936,3.61,4.178
2020-11-30,4.178,6.075,3.886,5.378
2020-12-31,5.378,9.502,4.542,9.267
2021-01-31,9.267,19.37,7.319,16.14
2021-02-28,16.14,42.27,15.69,33.87
2021-03-31,33.87,40.05,28.39,37.06
2021-04-30,37.06,47.99,26.81,36.52
2021-05-31,36.52,49.75,14.08,23.29
2021-06-30,23.29,28.6,13.02,16.4
2021-07-31,16.4,17.67,10.38,16.75
2021-08-31,16.75,31.94,16.59,31.34
2021-09-30,31.34,38.75,23.41,28.61
2021-10-31,28.61,46.38,28.51,42.78
2021-11-30,42.78,55.07,32.359,38.442
2021-12-31,38.462,38.789,23.28466,26.74267,118254606.53002
2022-01-31,26.73267,30.88,15.83317,19.46973,598273803.3858
2022-02-28,19.46973,23.20623,14.08563,18.53741,403320909.35081
2022-03-31,18.60744,23.337,16.0132,21.5243,264225102.55449
2022-04-30,21.51645,23.83953,15.43154,15.48155,228150529.70408
2022-05-31,15.48,16.44671,6.96277,10.3617,486754219.15064
2022-06-30,10.42197,10.72142,6.34245,6.73191,552332417.6658
2022-07-31,6.7419,9.19938,6.01298,8.97646,925033161.8366
2022-08-31,8.96599,9.67694,6.79156,7.09143,939777243.59266
2022-09-30,7.08973,8.04523,5.9729,6.2677,856282448.48437
2022-10-31,6.26833,6.83017,5.69977,6.63864,2772098016.2204
2022-11-30,6.6387,7.40962,5.00029,5.46002,2231182500.1757693
2022-12-31,5.45992,5.72935,4.22607,4.31854,873957230.5516113
2023-01-31,4.31844,6.82081,4.27629,6.29547,1031453982.7178594
2023-02-28,6.29647,7.87584,5.88795,6.3369,615381708.761394
2023-03-31,6.3343,6.71581,5.14479,6.32216,399197102.2690807
2023-04-30,6.32406,6.98382,5.59916,5.90346,284933729.4977533
2023-05-31,5.90601,5.93377,5.13036,5.30245,259085417.1856085
2023-06-30,5.30245,5.38462,4.17744,5.15115,384476589.29728055
2023-07-31,5.14925,5.73884,4.9817,5.09663,448752486.79492116
2023-08-31,5.09613,5.21658,4.23535,4.26499,403284509.8743656
2023-09-30,4.26505,4.32775,3.90845,4.10722,383221192.82354337
2023-10-31,4.10552,4.60453,3.57026,4.43796,419241981.66696656
2023-11-30,4.43796,5.8889,4.32319,5.4836,437893641.21042114
2023-12-31,5.48183,9.58889,5.37199,8.10897,502324424.9058646
2024-01-31,8.11747,8.81153,5.97686,6.66077,315524783.5416678
2024-02-29,6.65074,8.88979,6.53188,8.1474,267089415.6458605
2024-03-31,8.1468,11.88578,8.1468,9.55215,423140052.13788396
2024-04-30,9.55115,9.73754,5.7202,6.22583,403884424.5702346
2024-05-31,6.2236,7.76872,6.12282,6.99057,258088488.90849847
2024-06-30,6.99227,7.29405,5.3915,6.1434,266909007.56410158
2024-07-31,6.14306,6.59769,4.94936,5.38736,310426076.6929879
2024-08-31,5.39546,5.41833,3.60026,4.25875,228098425.36202383
2024-09-30,4.26453,4.96315,3.82151,4.52015,213021126.91439953
2024-10-31,4.51905,4.61032,3.86247,3.94572,237335930.51580697
2024-11-30,3.94642,10.49633,3.66633,8.9996,742082109.9794518
2024-12-31,8.9966,11.61148,6.05715,6.66661,482388545.7266676
2025-01-31,6.63537,7.98293,5.49787,6.33696,232747298.88130936
2025-02-28,6.36265,6.49113,3.78606,4.70201,299955012.13286966
2025-03-31,4.70271,5.24548,3.66603,4.03948,362009177.781527
2025-04-30,4.03668,4.37231,3.24996,4.10888,361641979.6630482
2025-05-31,4.10888,5.3947,3.82394,4.11162,342523871.4863433
2025-06-30,4.11272,4.3437,3.74597,3.94828,156686726.88673
