Date,Open,High,Low,Close,Volume,Openint
2020-09-30,2.913,6.849,2.82,4.32200
2020-12-31,4.322,9.502,3.61,9.267
2021-03-31,9.267,42.27,7.319,37.06
2021-06-30,37.06,49.75,13.02,16.4
2021-09-30,16.4,38.75,10.38,28.61
2021-12-31,28.61,55.07,23.28466,26.74267,118254606.53002
2022-03-31,26.73267,30.88,14.08563,21.5243,1265819815.2911
2022-06-30,21.51645,23.83953,6.34245,6.73191,1267237166.5205
2022-09-30,6.7419,9.67694,5.9729,6.2677,2721092853.9136
2022-12-31,6.26833,7.40962,4.22607,4.31854,5877237746.947757
2023-03-31,4.31844,7.87584,4.27629,6.32216,2046032793.748334
2023-06-30,6.32406,6.98382,4.17744,5.15115,928495735.9806424
2023-09-30,5.14925,5.73884,3.90845,4.10722,1235258189.4928303
2023-12-31,4.10552,9.58889,3.57026,8.10897,1359460047.7832513
2024-03-31,8.11747,11.88578,5.97686,9.55215,1005754251.3254124
2024-06-30,9.55115,9.73754,5.3915,6.1434,928881921.0428345
2024-09-30,6.14306,6.59769,3.60026,4.52015,751545628.9694113
2024-12-31,4.51905,11.61148,3.66633,6.66661,1461806586.2219262
2025-03-31,6.63537,7.98293,3.66603,4.03948,894711488.7957057
2025-06-30,4.03668,5.3947,3.24996,3.92656,856477232.08038
